id,matrix-name,base,sm,sm-opt,convergence-row-005-tol,convergence-row-0-tol,parallel-section-size-gpucap,icm32,parallel-row-005-diff,parallel-row-0-diff,parallel-section-size-gpucap-diff,icm32-diff
41,bcsstk21.mtx,77.22996,27.54168,18.9038,0.794515,0.824297,0.3484584,0.241299,4.30E-06,1.49012E-08,1.49012E-08,1.49012E-08
42,bcsstk15.mtx,60.40817,21.26116,14.62782,0.612082,0.68306,0.4067562,0.293202,5.69E+00,2.38419E-07,2.38419E-07,2.38419E-07
43,bcsstk28.mtx,202.6733,71.99117,49.43019,1.378593,1.417078,0.6169855,0.41661,2.17E-07,8.44011E-10,1.39698E-09,8.44011E-10
44,crystk01.mtx,133.2626,45.69184,31.32781,0.980127,1.080254,5.354476,0.533145,2.51E-04,2.57572E-14,0.7660044,2.57572E-14
45,bcsstk16.mtx,125.023,43.57432,30.19536,0.958316,0.990442,0.7881487,0.529431,1.67E-06,1.49012E-08,1.49012E-08,1.49012E-08
46,add32.mtx,17.2928,6.025701,4.175186,3.177164,23.80277,12.23719,11.03531,7.98E-05,3.33067E-16,3.33067E-16,3.33067E-16
47,s2rmq4m1.mtx,343.3013,117.6498,81.16292,1.719911,1.814615,1.077649,0.787622,2.97E-03,1.45519E-11,2.91038E-11,1.45519E-11
48,s1rmq4m1.mtx,326.4714,111.0244,76.58562,1.655103,1.726809,1.121517,0.78293,1.58E-06,3.63798E-12,3.63798E-12,1.81899E-12
49,Na5.mtx,315.1679,107.8965,74.90128,1.902045,7.795135,41.93671,1.320624,5.28E-04,1.77636E-15,1.49782E-10,1.77636E-15
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
